8192, 1, 0.000000
8192, 1, 0.000000
16384, 1, 0.000000
32768, 1, 0.000000
65536, 1, 0.000000
131072, 1, 0.000000
262144, 1, 0.000000
524288, 1, 0.000000
1048576, 1, 1301.050049
2097152, 1, 1310.199951
4194304, 1, 1572.199951
8388608, 1, 1726.800049
16777216, 1, 1709.750000
33554432, 1, 1709.500000
67108864, 1, 1708.300049
134217728, 1, 1707.250000
268435456, 1, 1709.300049
536870912, 1, 1709.349976
1073741824, 1, 1711.800049
2147483648, 1, 1712.650024
8192, 7, 0.000000
8192, 7, 0.000000
16384, 7, 0.000000
32768, 7, 0.000000
65536, 7, 0.000000
131072, 7, 0.000000
262144, 7, 0.000000
524288, 7, 0.000000
1048576, 7, 0.000000
2097152, 7, 0.000000
4194304, 7, 0.000000
8388608, 7, 1457.199951
16777216, 7, 1460.650024
33554432, 7, 1146.599976
67108864, 7, 1302.349976
134217728, 7, 1317.599976
268435456, 7, 1325.900024
536870912, 7, 1346.050049
1073741824, 7, 1348.900024
2147483648, 7, 1349.000000
8192, 14, 0.000000
8192, 14, 0.000000
16384, 14, 0.000000
32768, 14, 0.000000
65536, 14, 0.000000
131072, 14, 0.000000
262144, 14, 0.000000
524288, 14, 0.000000
1048576, 14, 0.000000
2097152, 14, 0.000000
4194304, 14, 0.000000
8388608, 14, 0.000000
16777216, 14, 1334.800049
33554432, 14, 713.849976
67108864, 14, 733.349976
134217728, 14, 845.500000
268435456, 14, 854.700012
536870912, 14, 861.500000
1073741824, 14, 875.849976
2147483648, 14, 876.599976
8192, 28, 0.000000
8192, 28, 0.000000
16384, 28, 0.000000
32768, 28, 0.000000
65536, 28, 0.000000
131072, 28, 0.000000
262144, 28, 0.000000
524288, 28, 0.000000
1048576, 28, 0.000000
2097152, 28, 0.000000
4194304, 28, 0.000000
8388608, 28, 0.000000
16777216, 28, 0.000000
33554432, 28, 385.049988
67108864, 28, 391.200012
134217728, 28, 399.500000
268435456, 28, 455.500000
536870912, 28, 459.200012
1073741824, 28, 460.799988
2147483648, 28, 467.100006
8192, 56, 0.000000
8192, 56, 0.000000
16384, 56, 0.000000
32768, 56, 0.000000
65536, 56, 0.000000
131072, 56, 0.000000
262144, 56, 0.000000
524288, 56, 0.000000
1048576, 56, 0.000000
2097152, 56, 0.000000
4194304, 56, 0.000000
8388608, 56, 0.000000
16777216, 56, 0.000000
33554432, 56, 0.000000
67108864, 56, 276.299988
134217728, 56, 287.799988
268435456, 56, 293.350006
536870912, 56, 334.299988
1073741824, 56, 335.549988
2147483648, 56, 336.350006
